                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 1.8743,                 1.9593,                 1.8929,                 0.2916,                0.18874,                0.20351,                0.09067,                 2.2689,                  2.343,                  2.227,             0.00076738,             0.00076738,             0.00076738
                    120,                 1.7743,                 1.9259,                 1.8321,                0.19936,                 0.1842,                0.16789,                0.07736,                 2.2264,                  2.379,                 2.2034,             0.00076325,             0.00076325,             0.00076325
                    121,                 1.8107,                 1.8889,                 1.8623,                0.64074,                0.18428,                 0.1912,                0.08994,                 2.2194,                 2.3472,                 2.2113,             0.00075912,             0.00075912,             0.00075912
                    122,                 1.8147,                 1.9488,                 1.8538,                0.25521,                0.18945,                0.17766,                0.06784,                 2.2834,                 2.3886,                 2.2306,               0.000755,               0.000755,               0.000755
                    123,                 1.8157,                 1.9786,                 1.8567,                0.25493,                0.18598,                0.17746,                  0.084,                  2.158,                   2.45,                 2.1694,             0.00075088,             0.00075088,             0.00075088
                    124,                 1.8467,                 1.9886,                 1.8488,                0.38446,                0.23697,                0.19151,                0.08176,                  2.211,                 2.4296,                  2.176,             0.00074675,             0.00074675,             0.00074675
                    125,                 1.8673,                 1.9659,                 1.8729,                  0.168,                0.18767,                0.13429,                0.06163,                 2.1855,                 2.5676,                 2.1867,             0.00074263,             0.00074263,             0.00074263
                    126,                 1.7998,                 1.9517,                 1.8358,                0.25093,                0.18716,                0.18083,                0.08638,                 2.2019,                 2.4107,                 2.1979,              0.0007385,              0.0007385,              0.0007385
                    127,                 1.7875,                 1.9007,                 1.8543,                0.19477,                 0.1982,                0.16804,                0.07722,                  2.178,                 2.3587,                 2.1812,             0.00073437,             0.00073437,             0.00073437
                    128,                 1.8301,                 1.9534,                 1.8525,                0.18484,                 0.2074,                0.15875,                0.07645,                 2.2252,                 2.4522,                 2.1424,             0.00073025,             0.00073025,             0.00073025
                    129,                  1.836,                 1.9639,                 1.8442,                0.23626,                 0.2261,                0.18774,                0.08312,                 2.2628,                 2.2984,                 2.2105,             0.00072612,             0.00072612,             0.00072612
                    130,                 1.7744,                 1.8904,                 1.8161,                0.23568,                0.22248,                0.17878,                 0.0789,                   2.21,                 2.4585,                 2.1759,               0.000722,               0.000722,               0.000722
                    131,                 1.8426,                 1.9685,                 1.8658,                0.29119,                0.19659,                0.20014,                0.08299,                 2.1566,                 2.3536,                 2.1955,             0.00071788,             0.00071788,             0.00071788
                    132,                 1.7906,                 1.8954,                 1.8138,                0.20268,                0.25459,                0.19292,                 0.0834,                 2.1996,                 2.4522,                 2.2349,             0.00071375,             0.00071375,             0.00071375
                    133,                 1.7785,                 1.8595,                  1.796,                0.27343,                0.22307,                0.20946,                0.09432,                  2.161,                 2.3273,                 2.1821,             0.00070962,             0.00070962,             0.00070962
                    134,                 1.8315,                 1.9152,                 1.8394,                0.23944,                0.20274,                0.17453,                0.08115,                 2.2672,                 2.4439,                 2.2433,              0.0007055,              0.0007055,              0.0007055
                    135,                 1.7161,                 1.8946,                 1.7773,                0.29817,                0.15066,                0.16598,                0.07861,                 2.2246,                 2.3916,                 2.1924,             0.00070137,             0.00070137,             0.00070137
                    136,                 1.7131,                 1.8124,                 1.7683,                 0.2735,                0.18886,                0.19562,                0.09381,                 2.1426,                 2.3493,                 2.1448,             0.00069725,             0.00069725,             0.00069725
                    137,                 1.7509,                  1.853,                 1.8095,                0.24356,                0.23467,                0.18814,                0.08586,                 2.2201,                 2.3164,                 2.1806,             0.00069313,             0.00069313,             0.00069313
